,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
39,4828407.0,Avenida Angélica Gamarra,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0622798 -12.0042251, -77.0624277 -12.0043334, -77.0625399 -12.0044002, -77.062656 -12.0044542, -77.0627353 -12.0044861, -77.0628217 -12.004513, -77.06289889999999 -12.0045293, -77.0630093 -12.0045468, -77.0630915 -12.0045599, -77.0634579 -12.0046154, -77.0638282 -12.0046735, -77.063911 -12.0046864, -77.06626540000001 -12.0050484, -77.066559 -12.0050949, -77.0672885 -12.0052097, -77.06803480000001 -12.0053126, -77.0681246 -12.0053265, -77.06943099999999 -12.0055157, -77.0695032 -12.0055263, -77.06963020000001 -12.0055447, -77.06968740000001 -12.0055546, -77.070412 -12.0056617, -77.0709221 -12.0057356, -77.071511 -12.0058282, -77.0715707 -12.0058376, -77.0716887 -12.005856, -77.07174670000001 -12.0058651, -77.07191229999999 -12.005891, -77.07250500000001 -12.0059832, -77.0730145 -12.0060624, -77.07337099999999 -12.0061178, -77.07384190000001 -12.006191, -77.07412429999999 -12.0062349, -77.0749225 -12.0063261, -77.0750934 -12.0063135, -77.0757869 -12.0062796, -77.076408 -12.0062431, -77.0764865 -12.0062385, -77.0766871 -12.0062364, -77.0768588 -12.0062397, -77.0771921 -12.0062537, -77.0775795 -12.0062727, -77.07770189999999 -12.0062787, -77.078756 -12.0063303, -77.0789443 -12.0063408, -77.079177 -12.0063538, -77.0804557 -12.0064323, -77.08061530000001 -12.0064416, -77.0812691 -12.0064771, -77.08169940000001 -12.0065037, -77.08210200000001 -12.0065268, -77.0821835 -12.006531, -77.0822332 -12.0065335, -77.0823271 -12.0065383, -77.08255680000001 -12.00655)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
46,4828763.0,Avenida Angélica Gamarra,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0902877 -12.0118578, -77.0901109 -12.0117767, -77.0899881 -12.0117042, -77.0898873 -12.0116179, -77.0897368 -12.0114996, -77.0894862 -12.0113027)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
80,11980238.0,Calle La Santa María,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.03596520000001 -12.1026027, -77.0368359 -12.1025096)",Calle La Santa María,"['calle', 'la', 'santa', 'maria']","['santa', 'maria']",f,both
96,11987056.0,Malecón de la Marina,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0516981 -12.1100679, -77.0516665 -12.1101401, -77.0515824 -12.1102377, -77.051548 -12.1103121, -77.0515395 -12.1103311, -77.05153540000001 -12.1104121, -77.0515321 -12.110479, -77.0515401 -12.1106586, -77.0515719 -12.111369, -77.0515779 -12.1115036, -77.051582 -12.1115588, -77.0515774 -12.1115841, -77.05156030000001 -12.1116137, -77.0514913 -12.1116935, -77.05145520000001 -12.1117138, -77.05138820000001 -12.1117381, -77.0508123 -12.1119519, -77.05068869999999 -12.112031)",Malecón de la Marina,"['malecon', 'de', 'la', 'marina']","['malecon', 'marina']",f,both
147,14341811.0,Santa Fe,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0667102 -12.0344373, -77.0666758 -12.0341357, -77.0666002 -12.0335992, -77.0664823 -12.0330208, -77.06644300000001 -12.032854, -77.0663733 -12.0324633, -77.0663103 -12.0320912)",Santa Fe,"['santa', 'fe']","['santa', 'fe']",f,both
207,24252044.0,Calle María Parado de Bellido,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0303851 -12.1105835, -77.0304581 -12.1105917, -77.03133560000001 -12.1106034, -77.03141460000001 -12.1106045, -77.0323877 -12.1106273)",Calle María Parado de Bellido,"['calle', 'maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
214,24252082.0,Avenida Santa María,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0350456 -12.1079235, -77.03415649999999 -12.1085819, -77.0339848 -12.1086963, -77.0338118 -12.1088597, -77.0337121 -12.1089631, -77.0336336 -12.1090726)",Avenida Santa María,"['avenida', 'santa', 'maria']","['santa', 'maria']",f,both
215,24252085.0,Santa María,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0339848 -12.1086963, -77.0339096 -12.108709, -77.033844 -12.1087125, -77.0337986 -12.1086995, -77.0337521 -12.1086786, -77.0337158 -12.1086441, -77.0336891 -12.108595)",Santa María,"['santa', 'maria']","['santa', 'maria']",f,both
220,24252106.0,Pasaje Juana Alarco de Dammert,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.034437 -12.1111927, -77.0352154 -12.1109115)",Pasaje Juana Alarco de Dammert,"['pasaje', 'juana', 'alarco', 'de', 'dammert']","['juana', 'alarco', 'dammert']",f,both
307,24252822.0,Calle Libertad,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0328494 -12.1191415, -77.0327041 -12.1207242, -77.03267339999999 -12.1213224)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
310,24252825.0,Calle Libertad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.03250009999999 -12.1214793, -77.0329258 -12.121935, -77.03330649999999 -12.1223425)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
367,24266767.0,Calle Doña Amalia,residential,,,,,concrete,,,,,,,,,,,no,"LINESTRING (-77.0404948 -12.1042362, -77.0404784 -12.1041611, -77.0402675 -12.1031933)",Calle Doña Amalia,"['calle', 'doña', 'amalia']","['doña', 'amalia']",f,both
371,24266776.0,Calle Santa Teresita,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0479047 -12.1097261, -77.0474461 -12.1092988, -77.0473133 -12.1087321, -77.047195 -12.1081868, -77.0470504 -12.1075205, -77.04685139999999 -12.1066875)",Calle Santa Teresita,"['calle', 'santa', 'teresita']","['santa', 'teresita']",f,both
372,24266778.0,Calle Santa Margarita,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0470504 -12.1075205, -77.046223 -12.1077062, -77.0456516 -12.1078269, -77.0450429 -12.1079553, -77.0446621 -12.1080357, -77.043909 -12.1081835)",Calle Santa Margarita,"['calle', 'santa', 'margarita']","['santa', 'margarita']",f,both
373,24266786.0,Avenida Belén,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0482476 -12.1093819, -77.0482221 -12.1092688, -77.04807719999999 -12.108627, -77.0480609 -12.1085549, -77.0480482 -12.1084975, -77.04802340000001 -12.1083853, -77.0478298 -12.1074564)",Avenida Belén,"['avenida', 'belen']",['belen'],f,both
444,24281798.0,Calle Santa Luisa,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0353954 -12.0964359, -77.03534260000001 -12.0963472, -77.0349566 -12.0957574, -77.034846 -12.0956092, -77.0345088 -12.0951336)",Calle Santa Luisa,"['calle', 'santa', 'luisa']","['santa', 'luisa']",f,both
473,24281872.0,Calle La Perricholi,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.032191 -12.0923859, -77.03210780000001 -12.0923713, -77.0319404 -12.092334, -77.0314511 -12.0922557, -77.0312885 -12.0922269, -77.0307854 -12.092155, -77.0305594 -12.0921215, -77.0305187 -12.0921155, -77.0304635 -12.0921339, -77.0304019 -12.0921914)",Calle La Perricholi,"['calle', 'la', 'perricholi']",['perricholi'],f,both
477,24281887.0,Calle La Perricholi,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0329909 -12.0934469, -77.03223730000001 -12.0924986, -77.0321826 -12.0924297)",Calle La Perricholi,"['calle', 'la', 'perricholi']",['perricholi'],f,both
550,24305315.0,Mama Ocllo,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.04405300000001 -12.0848787, -77.0439026 -12.0859365, -77.043752 -12.0869861, -77.04365610000001 -12.0876544)",Mama Ocllo,"['mama', 'ocllo']","['mama', 'ocllo']",f,both
555,24305342.0,Jirón Mama Ocllo,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.04431219999999 -12.0837462, -77.04416569999999 -12.0847982)",Jirón Mama Ocllo,"['jiron', 'mama', 'ocllo']","['mama', 'ocllo']",f,both
604,24306361.0,Calle Flora Tristan,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0584236 -12.0967035, -77.05838060000001 -12.0966138, -77.0579553 -12.0956916, -77.0577747 -12.0952843, -77.05771919999999 -12.0951467, -77.0575231 -12.0947452, -77.0571913 -12.0940245, -77.0571678 -12.0939735, -77.0570795 -12.0937906, -77.05705879999999 -12.0937467, -77.056669 -12.0929218, -77.0563487 -12.0923394, -77.05619280000001 -12.0920558, -77.0558448 -12.091423)",Calle Flora Tristan,"['calle', 'flora', 'tristan']","['flora', 'tristan']",f,both
613,24306492.0,Jirón María Parado de Bellido,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0610227 -12.0917374, -77.0598703 -12.090055, -77.0592649 -12.0891669)",Jirón María Parado de Bellido,"['jiron', 'maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
741,24315663.0,Calle Esperanza,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0289913 -12.1203741, -77.0277127 -12.1203947, -77.0276653 -12.1203958, -77.02752340000001 -12.1203963, -77.0267557 -12.1203992, -77.0257637 -12.1204238)",Calle Esperanza,"['calle', 'esperanza']",['esperanza'],f,both
819,24332019.0,Avenida Mayor Arce de la Oliva,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0172924 -12.1193658, -77.0166706 -12.1193552, -77.0159963 -12.1193448, -77.015344 -12.1193342, -77.0147001 -12.1193237, -77.01437079999999 -12.1193183, -77.01380760000001 -12.1193092)",Avenida Mayor Arce de la Oliva,"['avenida', 'mayor', 'arce', 'de', 'la', 'oliva']","['mayor', 'arce', 'oliva']",f,both
842,24332265.0,Santa Lucia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0148057 -12.1155299, -77.0146 -12.1155189, -77.0143782 -12.1155059, -77.0141552 -12.1154939, -77.0139355 -12.1154866, -77.01370470000001 -12.1154736, -77.0135607 -12.1154659, -77.0134951 -12.1154622)",Santa Lucia,"['santa', 'lucia']","['santa', 'lucia']",f,both
891,25111783.0,Avenida Santa Elvira,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.07387850000001 -11.9540892, -77.07370349999999 -11.9551192, -77.07361400000001 -11.9556893, -77.07356710000001 -11.9559881, -77.0733773 -11.9571976, -77.0730564 -11.9592426, -77.0730516 -11.9593416)",Avenida Santa Elvira,"['avenida', 'santa', 'elvira']","['santa', 'elvira']",f,both
