nombre,total
santa rosa,293
micaela bastidas,105
maria parado bellido,67
santa maria,52
santa ana,32
angelica gamarra,22
flora tristan,17
santa maria angeles,17
santa catalina,13
mama ocllo,13
sarita colonia,12
elvira garcia garcia,12
santa teresa,12
rosa merino,11
santa elvira,11
santa lucia,11
brigida silva ochoa,9
santa bernardita,8
santa sofia,8
santa gertrudis,8
juana arco,8
chimpu ocllo,7
juana alarco dammert,7
santa mercedes,7
santa luisa,7
santa patricia,7
santa rita,6
santa cecilia,6
santa elena,6
santa clara,6
maria elena moyano,6
santa monica,6
artemisa,6
perricholi,6
rosa noguera,6
santa margarita,6
marcela castro,5
virgen fatima,5
clorinda matto turner,5
leticia,5
santa marina,5
josefina,5
santa josefina,5
mercedes cabello,5
santa justina,5
santa ligia,4
andrea sarto,4
doña amalia,4
doña delmira,4
virgen lourdes,4
santa nicerata,4
santa beatriz,4
maria reiche,4
santa honorata,4
santa cristina,4
rosa toledo,4
merino reyna oeste,3
gloria grande,3
santa ursula,3
mercedes gallaguer,3
doña rosa,3
santa barbara,3
cecilia risco,3
doña catalina,3
rosa luz,3
barbara alcazar,3
sor araceli catalan,3
ursula pereda,3
santa natalia,3
santa lidia,3
maria delgado flor,3
zoila amoretti,3
santa martha,3
isolina soto,3
maria teresa gonzales fanning,3
sor mate,3
ariadna,3
aida garcia sotomayor,3
santa elena norte,3
virgen mercedes,3
julia codesido,3
maria tesoro,3
cristina galvez,3
santa teodosia,3
melissa,3
victoria navarro,3
santa aurelia,3
fatima,3
mercedes lercari,3
santa veronica,3
palmira,3
laurel rosa,3
marian quimper,3
gabriela mistral,3
magdalena,3
santa paula,2
santa magdalena sofia,2
santa susana,2
santa mariana,2
maria escobar,2
catalina huanca,2
margarita vargas,2
santa rosa huachipa,2
rosa cruces,2
selene,2
santa mariana paredes,2
libertad oeste,2
laguna blanca,2
melchorita,2
santa iluminata,2
gloria baja,2
santa rosa villa,2
pilar lara,2
cordillera blanca,2
puerto esperanza,2
america unamarca,2
j.c. maria tegui,2
veronica,2
margarita,2
alameda agua marina,2
justa garcia robledo,2
lozano rosa,2
antinio bastidas,2
santa lucia conchan,2
chabuca granda,2
julieta,2
bartola sanchez davila,2
arco iris,2
mercedes indacochea,2
santa carolina,2
doña juana,2
beatita humay,2
isis,2
santa teresita,2
galvez barrenechea,2
esther salgado,2
santa eulalia,2
heroes libertad,2
angelica palma,2
doña consuelo,2
santa angela,2
doña ana,2
teresa gonzalez fanning,2
maria tegui,2
alameda rocio,2
a rosa,2
doña mercedes,2
