nombre,total
miguel grau,301
tupac amaru,249
jose san martin,220
javier prado,213
alfonso ugarte,147
jose carlos mariategui,139
nicolas ayllon,136
jose olaya,125
oscar raimundo benavides,122
ramon castilla,116
pachacutec,112
ricardo palma,109
francisco bolognesi,105
cesar vallejo,105
elmer faucett,98
jorge chavez,96
alfredo mendiola,92
nestor gambetta,89
jose galvez,89
carlos alberto izaguirre,88
san pedro,87
andres avelino caceres,81
san juan,80
salaverry,79
nicolas pierola,73
garcilazo vega,69
manco capac,66
daniel alcides carrion,64
mariano melgar,62
alfredo benavides,62
fernando wiese,61
san jose,60
simon bolivar,59
leoncio prado,59
tomas valle,58
san luis,57
san martin porres,55
victor raul haya torre,49
san francisco,48
juan velasco alvarado,48
victor andres belaunde,47
hipolito unanue,46
santa cruz,45
mateo pumacahua,43
sinchi roca,42
san antonio,41
julio cesar tello,41
bolognesi,40
tomas marsano,39
mariano pastor sevilla,39
nicolas arriola,39
santiago surco,39
ciro alegria,37
saenz peña,37
ciclovia tomas valle,37
jose santos chocano,36
elias aguirre,36
huayna capac,35
antonio sucre,35
san felipe,34
ramiro priale,33
santo domingo,32
san pablo,32
francisco zela,31
jorge basadre,30
san marcos,29
jose mar,28
faustino sanchez carrion,28
luis fernan bedoya reyes,28
enrique meiggs,27
enrique canaval moreyra,27
mariano condorcanqui,26
jose pardo,26
jose galvez barrenechea,26
gerardo unger,26
agustin gamarra,26
inca roca,26
san carlos,25
jose maria arguedas,25
diego ferre,24
san miguel,24
pedro miotta,24
rosario,24
jose balta,24
pastor sevilla,24
pedro ruiz gallo,24
bolivar,23
jaime bausate meza,22
ricardo elias aparicio,22
san cristobal,22
santiago antunez mayolo,22
nicolas dueñas,22
san lorenzo,22
jose granda,21
miguel iglesias,21
luis pardo,21
san diego alcala,21
andres aramburu,21
honorio delgado,19
antonio raimondi,19
meliton carbajal,19
jose torre ugarte,19
capac yupanqui,19
san juan bautista,19
javier heraud,18
petit thouars,18
inca garcilaso vega,18
juan pablo ii,18
bartolome herrera,17
francisco pizarro,17
manuel gonzales prada,17
jose riva aguero,17
jose bernardo alcedo,17
general juan antonio pezet,16
alejandro bertello,16
general borgoño,16
ignacio merino,15
velazco astete,15
mariano cornejo,15
samuel alcazar,15
alfredo palacios,15
lloque yupanqui,15
jose quiñones,15
raul ferrero,15
jose larco,14
alejandro tirado,14
julio c. tello,14
manuel prado,14
san lucas,14
belisario suarez,14
alipio ponce,14
sebastian barranca,14
santo toribio,14
antunez mayolo,13
jose maria eguren,13
san ignacio,13
jose gabriel condorcanqui,13
victor fajardo,13
luis perez salmon,13
guillermo billinghurst,13
agustin rosa toro,13
ramon carcamo,13
mayta capac,13
pablo carriquirry,13
pedro osma,12
manuel villaran,12
placido jimenez,12
san sebastian,12
alvarez arenales,12
hernando lavalle,12
comandante espinar,12
san fernando,12
tupac yupanqui,12
jose saco rojas,12
general orbegoso,11
san andres,11
manuel scorza,11
pedro venturo,11
jose riva agüero,11
victor malasquez,11
inca,11
jose abelardo quiñones,11
andres a. caceres,11
rafael escardo,11
san roque,11
nicolas rivera,11
juan vicente nicolini,11
pablo olavide,11
miguel angel,11
general cordova,11
daniel hernandez,11
general varela,11
alberto alexander,10
san german,10
manuel prado ugarteche,10
pedro beltran,10
antonio bazo,10
manuel echeandia,10
martin luther king,10
manuel gonzales,10
eduardo habich,10
sebastian lorente,10
gaston garcia rada,10
abraham valdelomar,10
francisco lazo,10
san judas tadeo,10
miguel dasso,10
general ernesto montagne,10
jose antonio encinas,10
jose acosta,10
manuel irribarren,10
via expresa elmer faucett,10
cesar canevaro,10
san agustin,10
pio xii,10
santisima cruz,10
cristobal colon,10
manco segundo,10
rufino torrico,10
yahuar huaca,10
augusto b. leguia,9
domingo orue,9
alonso molina,9
unanue,9
general garzon,9
manco inca ii,9
antonio jose sucre,9
ramon zavala,9
san nicolas,9
marcos calderon,9
general santa cruz,9
manco inca,9
